"","Constituency.Name","Electorate","Votes","Lab","Con","LD","Grn","UKIP","SNP","year","leave"
"1020","Ribble Valley",77789,52287,11529,26298,10732,0,3496,0,2010,0.5868051438
"1021","Ribble Valley",77379,52243,11798,25404,2756,2193,8250,0,2015,0.5868051438
"1022","Richmond (Yorks)",79062,53999,7124,27744,3465,2313,8194,0,2015,0.5469912898
"1023","Richmond (Yorks)",80563,53412,8150,33541,10205,1516,0,0,2010,0.5469912898
"1024","Richmond Park",77303,59101,7296,34404,11389,3548,2464,0,2015,0.2770387111
"1025","Richmond Park",77751,59268,2979,29461,25370,572,669,0,2010,0.2770387111
"1026","Rochdale",78952,45907,16699,8305,15810,0,1999,0,2010,0.5745003587
"1027","Rochdale",77248,45430,20961,7742,4667,1382,8519,0,2015,0.5745003587
"1028","Rochester and Strood",77119,52516,10396,23142,1251,1516,16009,0,2015,0.6368812299
"1029","Rochester and Strood",73758,47971,13651,23604,7800,734,0,0,2010,0.6368812299
"1030","Rochford and Southend East",71467,41631,8459,19509,8084,707,2405,0,2010,0.6045520412
"1031","Rochford and Southend East",71935,43608,10765,20241,1459,2195,8948,0,2015,0.6045520412
"1032","Romford",72594,49178,10268,25067,1413,1222,11208,0,2015,0.6928564916
"1033","Romford",71306,46481,9077,26031,5572,447,2050,0,2010,0.6928564916
"1034","Romsey and Southampton North",68157,48939,3116,24345,20189,0,1289,0,2010,0.4580927726
"1035","Romsey and Southampton North",66519,48398,5749,26285,8573,2280,5511,0,2015,0.4580927726
"1036","Ross, Skye and Lochaber",54169,41811,2043,2598,14995,1051,814,20119,2015,0.4335221268
"1037","Ross, Skye and Lochaber",51836,34838,5265,4260,18335,777,659,5263,2010,0.4335221268
"1038","Rossendale and Darwen",73229,47128,15198,19691,8541,0,1617,0,2010,0.5859130289
"1039","Rossendale and Darwen",73779,49024,17193,22847,806,1046,6862,0,2015,0.5859130289
"1040","Rother Valley",72847,46758,19147,13281,8111,0,2613,0,2010,0.6672198864
"1041","Rother Valley",74275,47019,20501,10945,1992,0,13204,0,2015,0.6672198864
"1042","Rotherham",63698,37823,19860,4656,1093,0,11414,0,2015,0.6834596314
"1043","Rotherham",63563,37506,16741,6279,5994,0,2220,0,2010,0.6834596314
"1044","Rugby",68914,47468,14901,20901,9434,451,406,0,2010,0.5836766023
"1045","Rugby",71655,49006,13695,24040,2776,1415,6855,0,2015,0.5836766023
"1046","Ruislip, Northwood and Pinner",70873,50205,9806,28866,8345,740,1351,0,2010,0.490205247
"1047","Ruislip, Northwood and Pinner",73216,51222,10297,30521,2537,1801,5598,0,2015,0.490205247
"1048","Runnymede and Weybridge",72566,48150,6446,26915,10406,696,3146,0,2010,0.498002617
"1049","Runnymede and Weybridge",73771,50052,7767,29901,3362,2071,6951,0,2015,0.498002617
"1050","Rushcliffe",72955,53687,11128,27470,11659,1251,2179,0,2010,0.4130787973
"1051","Rushcliffe",73278,55164,14525,28354,2783,3559,5943,0,2015,0.4130787973
"1052","Rutherglen and Hamilton West",76408,46981,28566,4540,5636,0,675,7564,2010,0.3734174153
"1053","Rutherglen and Hamilton West",82830,57615,0,4350,1045,0,1301,30279,2015,0.3734174153
"1054","Rutland and Melton",79693,54603,8383,30383,4407,2325,8678,0,2015,0.5395742598
"1055","Rutland and Melton",77185,55220,7893,28228,14228,0,2526,0,2010,0.5395742598
"1056","Saffron Walden",80615,57563,6791,32926,6079,2174,7935,0,2015,0.5092493593
"1057","Saffron Walden",76035,54369,5288,30155,14913,735,2228,0,2010,0.5092493593
"1058","Salford and Eccles",74291,43261,21364,8823,1614,2251,7806,0,2015,0.5359345748
"1059","Salford and Eccles",75483,41533,16655,8497,10930,0,1084,0,2010,0.5359345748
"1060","Salisbury",69582,50705,7771,28192,5099,2762,6152,0,2015,0.5033849157
"1061","Salisbury",67430,48481,3690,23859,17893,506,1392,0,2010,0.5033849157
"1062","Scarborough and Whitby",73511,47739,14413,20613,2159,2185,8162,0,2015,0.6136997032
"1063","Scarborough and Whitby",75470,49282,12978,21108,11093,734,1484,0,2010,0.6136997032
"1064","Scunthorpe",63089,37034,14640,12091,6774,396,1686,0,2010,0.6908634102
"1065","Scunthorpe",64025,36941,15393,12259,770,887,6329,0,2015,0.6908634102
"1066","Sedgefield",62844,38716,18275,11432,1370,1213,6426,0,2015,0.5894880672
"1067","Sedgefield",64728,40222,18141,9445,8033,0,1479,0,2010,0.5894880672
"1068","Sefton Central",67511,48463,20307,16445,9656,0,2055,0,2010,0.4512582863
"1069","Sefton Central",67744,49021,26359,14513,2086,1184,4879,0,2015,0.4512582863
"1070","Selby and Ainsty",72804,51728,13297,25562,9180,0,1635,0,2010,0.5778823154
"1071","Selby and Ainsty",76082,52804,14168,27725,1920,1465,7389,0,2015,0.5778823154
"1072","Sevenoaks",71958,50124,6448,28531,3937,2238,8970,0,2015,0.538611222
"1073","Sevenoaks",69591,49408,6541,28076,10561,0,1782,0,2010,0.538611222
"1074","Sheffield Brightside and Hillsborough",67740,38914,21400,4468,7768,0,1596,0,2010,NA
"1075","Sheffield Brightside and Hillsborough",70874,40053,22663,4407,1802,1712,8856,0,2015,NA
"1076","Sheffield Central",72321,44173,24308,4917,4278,6999,3296,0,2015,0.3040721727
"1077","Sheffield Central",67554,41468,17138,4206,16973,1556,652,0,2010,0.3040721727
"1078","Sheffield Hallam",68798,51135,8228,12040,27324,919,1195,0,2010,NA
"1079","Sheffield Hallam",72351,55481,19862,7544,22215,1772,3575,0,2015,NA
"1080","Sheffield Heeley",65571,40871,17409,7081,11602,989,1530,0,2010,NA
"1081","Sheffield Heeley",67950,42048,20269,6792,4746,2566,7315,0,2015,NA
"1082","Sheffield South East",70422,41685,21439,7242,2226,1117,9128,0,2015,0.6648992714
"1083","Sheffield South East",67068,41408,20169,7202,9664,0,1889,0,2010,0.6648992714
"1084","Sheffield, Brightside and Hillsborough",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6143934634
"1085","Sheffield, Hallam",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3590070068
"1086","Sheffield, Heeley",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5760591914
"1087","Sherwood",73349,50698,18186,22833,1094,1108,7399,0,2015,0.6376245162
"1088","Sherwood",71443,48954,18997,19211,7283,0,1490,0,2010,0.6376245162
"1089","Shipley",67689,49427,14058,24002,9890,1477,0,0,2010,0.5221134452
"1090","Shipley",70464,50542,15645,25269,1949,2657,4479,0,2015,0.5221134452
"1091","Shrewsbury and Atcham",75446,53045,10915,23313,15369,565,1627,0,2010,0.5301679598
"1092","Shrewsbury and Atcham",76400,54102,15063,24628,4268,2247,7813,0,2015,0.5301679598
"1093","Shropshire North",78930,51869,9406,26692,10864,808,2432,0,2010,NA
"1094","Shropshire North",78858,52573,10547,27041,3148,2575,9262,0,2015,NA
"1095","Sittingbourne and Sheppey",76018,49378,9673,24425,1563,1185,12257,0,2015,0.6576125356
"1096","Sittingbourne and Sheppey",75855,48578,11930,24313,7943,0,2610,0,2010,0.6576125356
"1097","Skipton and Ripon",77381,54724,5498,27685,17735,0,1909,0,2010,0.5303345057
"1098","Skipton and Ripon",76645,54559,9487,30248,4057,3116,7651,0,2015,0.5303345057
"1099","Sleaford and North Hykeham",84806,59530,10051,30719,10814,0,2163,0,2010,0.6153246901
"1100","Sleaford and North Hykeham",87972,61944,10690,34805,3500,0,9716,0,2015,0.6153246901
"1101","Slough",86366,48275,23421,16085,1275,1220,6274,0,2015,0.5410037979
"1102","Slough",77473,47742,21884,16361,6943,542,1517,0,2010,0.5410037979
"1103","Solihull",77956,54779,5693,26956,14054,1632,6361,0,2015,0.5334830853
"1104","Solihull",76288,55129,4891,23460,23635,0,1200,0,2010,0.5334830853
"1105","Somerset North",77306,57941,6448,28549,20687,0,2257,0,2010,NA
"1106","Somerset North",80161,58942,8441,31540,7486,3806,7669,0,2015,NA
"1107","Somerset North East",69380,51110,12690,25439,4029,2802,6150,0,2015,NA
"1108","Somerset North East",67881,51203,16216,21130,11433,670,1754,0,2010,NA
"1109","Somerton and Frome",81548,60612,2675,26976,28793,0,1932,0,2010,0.5096199022
"1110","Somerton and Frome",83281,60309,4419,31960,11692,5434,6439,0,2015,0.5096199022
"1111","South Basildon and East Thurrock",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7307870602
